system_name,id,staged_system_id,name,profile_name,product_code,dimensions,length_m,sheet_format,length_mm,width_mm,height_mm,thickness_mm,depth_mm,gauge_mm,diameter_mm,roll_m,weight_kg,pieces,volume_ml,weight_g,pack_format,supplier_pack_qty,supplier_pack_uom,supplier_pack_note,bal_rating,uom,image_url,website_url,parser_notes,extracted_at,sort_order,verification_status,reviewer_notes,created_at
Stria™ Cladding Fine Texture,,,Stria™ Cladding Fine Texture 325mm,Stria™ Cladding Fine Texture 325mm,405571,3000 x 325 x 14 mm,3,board,3000,325,,14,,,,,18.1,,,,,60,boards,Selling units per pack: 325mm – 60 boards,,board,,,,,1,pending_review,,
Stria™ Cladding Fine Texture,,,Stria™ Cladding Fine Texture 325mm,Stria™ Cladding Fine Texture 325mm,405570,4200 x 325 x 14 mm,4.2,board,4200,325,,14,,,,,25.4,,,,,60,boards,Selling units per pack: 325mm – 60 boards,,board,,,,,2,pending_review,,
Stria™ Cladding Smooth,,,Stria™ Cladding Smooth Standard 325mm,Stria™ Cladding Smooth Standard 325mm,405504,3000 x 325 x 14 mm,3,board,3000,325,,14,,,,,18.1,,,,,60,boards,Selling units per pack: 325mm – 60 boards,,board,,,,,3,pending_review,,
Stria™ Cladding Smooth,,,Stria™ Cladding Smooth Standard 325mm,Stria™ Cladding Smooth Standard 325mm,404063,4200 x 325 x 14 mm,4.2,board,4200,325,,14,,,,,25.4,,,,,60,boards,Selling units per pack: 325mm – 60 boards,,board,,,,,4,pending_review,,
Stria™ Cladding Smooth,,,Stria™ Cladding Smooth Wide 405mm,Stria™ Cladding Smooth Wide 405mm,405505,3000 x 405 x 14 mm,3,board,3000,405,,14,,,,,23.4,,,,,40,boards,Selling units per pack: 405mm - 40 boards,,board,,,,,5,pending_review,,
Stria™ Cladding Smooth,,,Stria™ Cladding Smooth Wide 405mm,Stria™ Cladding Smooth Wide 405mm,404413,4200 x 405 x 14 mm,4.2,board,4200,405,,14,,,,,32.7,,,,,40,boards,Selling units per pack: 405mm - 40 boards,,board,,,,,6,pending_review,,
Axon™ Cladding,,,Axon™ Cladding 133mm Smooth,Axon™ Cladding 133mm Smooth,403931,2450 x 1200 x 9 mm; groove spacing 133 mm,2.45,panel,2450,1200,,9,,,,,38.1,,,,,30,sheets,Selling units per pack: 30 sheets,,sheet,,,,,7,pending_review,,
Axon™ Cladding,,,Axon™ Cladding 400mm Smooth,Axon™ Cladding 400mm Smooth,404417,2450 x 1200 x 9 mm; groove spacing 400 mm,2.45,panel,2450,1200,,9,,,,,38.1,,,,,30,sheets,Selling units per pack: 30 sheets,,sheet,,,,,8,pending_review,,
Axon™ Cladding,,,Axon™ Cladding 133mm Smooth,Axon™ Cladding 133mm Smooth,403932,2750 x 1200 x 9 mm; groove spacing 133 mm,2.75,panel,2750,1200,,9,,,,,42.8,,,,,30,sheets,Selling units per pack: 30 sheets,,sheet,,,,,9,pending_review,,
Axon™ Cladding,,,Axon™ Cladding 400mm Smooth,Axon™ Cladding 400mm Smooth,404418,2750 x 1200 x 9 mm; groove spacing 400 mm,2.75,panel,2750,1200,,9,,,,,42.8,,,,,30,sheets,Selling units per pack: 30 sheets,,sheet,,,,,10,pending_review,,
Axon™ Cladding,,,Axon™ Cladding 133mm Smooth,Axon™ Cladding 133mm Smooth,403933,3000 x 1200 x 9 mm; groove spacing 133 mm,3,panel,3000,1200,,9,,,,,46.7,,,,,30,sheets,Selling units per pack: 30 sheets,,sheet,,,,,11,pending_review,,
