id,manufacturer_id,source_document_id,source_chunk_id,production_system_id,name,product_code,slug,category,subcategory,description,dimensions,length_m,double_sided,sheet_format,hero_image_url,website_url,source_label,source_url,fire_rating,bal_rating,acoustic_rating,moisture_resistant,structural_grade,install_guide_url,tech_data_url,notes,parser_notes,sort_order,extraction_confidence,extracted_at,verification_status,verified_by,verified_at,reviewer_notes,created_at,updated_at
,,,,,Stria™ Cladding Fine Texture,,stria-cladding-fine-texture,Exterior Cladding,Hardie Architectural Collection,14mm thick fibre cement board with sharp V-groove and embedded fine render texture; can be installed vertically or horizontally.,3000 or 4200mm length x 325mm width x 14mm thickness; effective cover 295mm,3.0;4.2,,board,,,"Hardie Product Catalogue June 2025, pp. 2 and 16",https://www.jameshardie.com.au/ContentfulCMS/Technical-Documents/Hardie_Product_Catalogue.pdf,,,,,,,,"Selling units per pack: 60 boards. Product codes are profile-level, not system-level.","{""source_basis"": ""Hardie Product Catalogue June 2025 attached PDF; system list checked against page 2."", ""evidence_pages"": [2, 16], ""extraction_scope"": ""staged_systems only; product/profile/component codes generally left out unless a single system-level code is listed."", ""needs_human_review"": [""website_url"", ""install_guide_url"", ""tech_data_url"", ""hero_image_url""]}",1,0.93,,pending_review,,,Human review required before publish. Confirm website/install/technical URLs separately from official James Hardie source.,,
,,,,,Stria™ Cladding Smooth,,stria-cladding-smooth,Exterior Cladding,Hardie Architectural Collection,14mm thick smooth fibre cement cladding board with square grooves; standard and wide profiles for horizontal or vertical line details.,3000 or 4200mm length x 325 or 405mm width x 14mm thickness; effective cover 300 or 380mm,3.0;4.2,,board,,,"Hardie Product Catalogue June 2025, pp. 2 and 18",https://www.jameshardie.com.au/ContentfulCMS/Technical-Documents/Hardie_Product_Catalogue.pdf,,,,,,,,Selling units per pack: 325mm - 60 boards; 405mm - 40 boards. Product codes are profile-level.,"{""source_basis"": ""Hardie Product Catalogue June 2025 attached PDF; system list checked against page 2."", ""evidence_pages"": [2, 18], ""extraction_scope"": ""staged_systems only; product/profile/component codes generally left out unless a single system-level code is listed."", ""needs_human_review"": [""website_url"", ""install_guide_url"", ""tech_data_url"", ""hero_image_url""]}",2,0.93,,pending_review,,,Human review required before publish. Confirm website/install/technical URLs separately from official James Hardie source.,,
,,,,,Axon™ Cladding,,axon-cladding,Exterior Cladding,Hardie Architectural Collection,Vertically grooved fibre cement panel range with stepped shiplap long edges; smooth and grained surface options.,"2450, 2750, 3000 or 3600mm length x 1200mm width x 9mm thickness; groove spacing 133 or 400mm",,,panel,,,"Hardie Product Catalogue June 2025, pp. 2 and 20",https://www.jameshardie.com.au/ContentfulCMS/Technical-Documents/Hardie_Product_Catalogue.pdf,,,,,,,,"Selling units per pack: 30 sheets. Includes 133mm Smooth, 400mm Smooth and 133mm Grained variants.","{""source_basis"": ""Hardie Product Catalogue June 2025 attached PDF; system list checked against page 2."", ""evidence_pages"": [2, 20], ""extraction_scope"": ""staged_systems only; product/profile/component codes generally left out unless a single system-level code is listed."", ""needs_human_review"": [""website_url"", ""install_guide_url"", ""tech_data_url"", ""hero_image_url""]}",3,0.94,,pending_review,,,Human review required before publish. Confirm website/install/technical URLs separately from official James Hardie source.,,
,,,,,Hardie™ Brushed Concrete Cladding,,hardie-brushed-concrete-cladding,Exterior Cladding,Hardie Architectural Collection,Pre-sealed fibre cement panel with embedded brushed-concrete texture and shiplap joints.,"2440, 2750, 3000 or 3600mm length x 1200mm width x 8.5mm thickness",,,panel,,,"Hardie Product Catalogue June 2025, pp. 2 and 22",https://www.jameshardie.com.au/ContentfulCMS/Technical-Documents/Hardie_Product_Catalogue.pdf,,,,,,,,Pack quantities vary by length: 40 sheets except 3600x1200mm is 30 sheets.,"{""source_basis"": ""Hardie Product Catalogue June 2025 attached PDF; system list checked against page 2."", ""evidence_pages"": [2, 22], ""extraction_scope"": ""staged_systems only; product/profile/component codes generally left out unless a single system-level code is listed."", ""needs_human_review"": [""website_url"", ""install_guide_url"", ""tech_data_url"", ""hero_image_url""]}",4,0.92,,pending_review,,,Human review required before publish. Confirm website/install/technical URLs separately from official James Hardie source.,,
,,,,,Hardie™ Fine Texture Cladding,,hardie-fine-texture-cladding,Exterior Cladding,Hardie Architectural Collection,Pre-sealed fibre cement panel embedded with a fine render texture for external wall cladding.,"2440, 2750, 3000 or 3600mm length x 1200mm width x 8.5mm thickness",,,panel,,,"Hardie Product Catalogue June 2025, pp. 2 and 24",https://www.jameshardie.com.au/ContentfulCMS/Technical-Documents/Hardie_Product_Catalogue.pdf,,,,,,,,Pack quantities vary by length: 40 sheets except 3600x1200mm is 30 sheets.,"{""source_basis"": ""Hardie Product Catalogue June 2025 attached PDF; system list checked against page 2."", ""evidence_pages"": [2, 24], ""extraction_scope"": ""staged_systems only; product/profile/component codes generally left out unless a single system-level code is listed."", ""needs_human_review"": [""website_url"", ""install_guide_url"", ""tech_data_url"", ""hero_image_url""]}",5,0.92,,pending_review,,,Human review required before publish. Confirm website/install/technical URLs separately from official James Hardie source.,,
,,,,,Hardie™ Oblique™ Cladding,,hardie-oblique-cladding,Exterior Cladding,Hardie Architectural Collection,Pre-sealed smooth fibre cement board with slanted groove edge; available in 200mm and 300mm widths.,3000 or 4200mm length x 200 or 300mm width x 14mm thickness; groove spacing 175 or 275mm,3.0;4.2,,board,,,"Hardie Product Catalogue June 2025, pp. 2 and 26",https://www.jameshardie.com.au/ContentfulCMS/Technical-Documents/Hardie_Product_Catalogue.pdf,,,,,,,,Selling units per pack: 200mm - 75 boards; 300mm - 45 boards.,"{""source_basis"": ""Hardie Product Catalogue June 2025 attached PDF; system list checked against page 2."", ""evidence_pages"": [2, 26], ""extraction_scope"": ""staged_systems only; product/profile/component codes generally left out unless a single system-level code is listed."", ""needs_human_review"": [""website_url"", ""install_guide_url"", ""tech_data_url"", ""hero_image_url""]}",6,0.92,,pending_review,,,Human review required before publish. Confirm website/install/technical URLs separately from official James Hardie source.,,
,,,,,Linea™ Weatherboard,,linea-weatherboard,Exterior Cladding,Hardie Architectural Collection / Hamptons Collection,Pre-primed thick horizontal fibre cement weatherboard with deep shadow lines.,4200mm length x 150 or 180mm width x 16mm thickness; tongue-and-groove end detail; effective cover 120 or 150mm,4.2,,weatherboard,,,"Hardie Product Catalogue June 2025, pp. 2 and 28",https://www.jameshardie.com.au/ContentfulCMS/Technical-Documents/Hardie_Product_Catalogue.pdf,,,,,,,,Appears on pages 28 and 34. Selling units per pack: 90 lengths.,"{""source_basis"": ""Hardie Product Catalogue June 2025 attached PDF; system list checked against page 2."", ""evidence_pages"": [2, 28], ""extraction_scope"": ""staged_systems only; product/profile/component codes generally left out unless a single system-level code is listed."", ""needs_human_review"": [""website_url"", ""install_guide_url"", ""tech_data_url"", ""hero_image_url""]}",7,0.93,,pending_review,,,Human review required before publish. Confirm website/install/technical URLs separately from official James Hardie source.,,
,,,,,Matrix™ Cladding,,matrix-cladding,Exterior Cladding,Hardie Architectural Collection,Pre-primed exterior cladding system with expressed 10mm joints between panels; installed on vertical cavity battens with horizontal backing strips.,"1190x1190x8mm, 2390x590x8mm or 2990x1190x8mm panels; Hardie Cavity Batten 3000x70x19mm included in table",,,panel system,,,"Hardie Product Catalogue June 2025, pp. 2 and 30",https://www.jameshardie.com.au/ContentfulCMS/Technical-Documents/Hardie_Product_Catalogue.pdf,,,,,,,,Selling units per pack: 30. Cavity batten listed in same system table.,"{""source_basis"": ""Hardie Product Catalogue June 2025 attached PDF; system list checked against page 2."", ""evidence_pages"": [2, 30], ""extraction_scope"": ""staged_systems only; product/profile/component codes generally left out unless a single system-level code is listed."", ""needs_human_review"": [""website_url"", ""install_guide_url"", ""tech_data_url"", ""hero_image_url""]}",8,0.91,,pending_review,,,Human review required before publish. Confirm website/install/technical URLs separately from official James Hardie source.,,
,,,,,Hardie™ Axent™ Trim,,hardie-axent-trim,Trim,Hardie Architectural Collection / Hamptons Collection,"Smooth fibre cement trim for window and door trims, board-and-batten looks, and internal or external corners.","3000mm length x 45, 70 or 89mm width x 19 or 38mm thickness",3.0,,trim,,,"Hardie Product Catalogue June 2025, pp. 2 and 32",https://www.jameshardie.com.au/ContentfulCMS/Technical-Documents/Hardie_Product_Catalogue.pdf,,,,,,,,Appears on pages 32 and 38. Selling units per pack: 1 each on page 38.,"{""source_basis"": ""Hardie Product Catalogue June 2025 attached PDF; system list checked against page 2."", ""evidence_pages"": [2, 32], ""extraction_scope"": ""staged_systems only; product/profile/component codes generally left out unless a single system-level code is listed."", ""needs_human_review"": [""website_url"", ""install_guide_url"", ""tech_data_url"", ""hero_image_url""]}",9,0.90,,pending_review,,,Human review required before publish. Confirm website/install/technical URLs separately from official James Hardie source.,,
,,,,,Primeline™ Weatherboard,,primeline-weatherboard,Exterior Cladding,Hamptons Collection,"Pre-primed site-painted weatherboard range with Heritage, Newport and Chamfer profiles.",4200mm length x 170 or 300mm width x 9mm thickness; effective cover 142 or 278mm,4.2,,weatherboard,,,"Hardie Product Catalogue June 2025, pp. 2 and 36",https://www.jameshardie.com.au/ContentfulCMS/Technical-Documents/Hardie_Product_Catalogue.pdf,,,,,,,,"Includes Heritage, Newport and Chamfer profiles. Pack quantities vary by profile.","{""source_basis"": ""Hardie Product Catalogue June 2025 attached PDF; system list checked against page 2."", ""evidence_pages"": [2, 36], ""extraction_scope"": ""staged_systems only; product/profile/component codes generally left out unless a single system-level code is listed."", ""needs_human_review"": [""website_url"", ""install_guide_url"", ""tech_data_url"", ""hero_image_url""]}",10,0.92,,pending_review,,,Human review required before publish. Confirm website/install/technical URLs separately from official James Hardie source.,,
