system_name,id,manufacturer_id,source_document_id,source_chunk_id,production_component_id,sku,name,description,category,uom,length_mm,width_mm,height_mm,thickness_mm,depth_mm,gauge_mm,diameter_mm,roll_m,weight_kg,pieces,volume_ml,weight_g,pack_format,supplier_pack_qty,supplier_pack_uom,supplier_pack_note,material,finish,colour,profile,texture,coverage_m2,image_url,website_url,parser_notes,extracted_at,sort_order,extraction_confidence,verification_status,verified_by,verified_at,reviewer_notes,created_at,updated_at
Elite Doors,,,,,,,Contemporary Trilock,,Door hardware,,,,,,,,,,,,,,,,,,,,,,,,,,"{""source_pages"": ""36""}",,1,,pending_review,,,,,
Elite Doors,,,,,,,Omni Trilock,,Door hardware,,,,,,,,,,,,,,,,,,,,,,,,,,"{""source_pages"": ""36""}",,2,,pending_review,,,,,
Elite Doors,,,,,,,C4 Euro Handle with Mortice Lock,,Door hardware,,,,,,,,,,,,,,,,,,,,,,,,,,"{""source_pages"": ""36""}",,3,,pending_review,,,,,
Elite Doors,,,,,,,Hinges,,Door hardware,,,,,,,,,,,,,,,,,,,,,,,,,,"{""source_pages"": ""36""}",,4,,pending_review,,,,,
Elite Doors,,,,,,,Pet Door,"Sizes to suit small and medium pets; supplied and fitted; available for XE1, XE2, XE3 and XE4",Door hardware,,,,,,,,,,,,,,,,,,,,,,,,,,"{""source_pages"": ""36""}",,5,,pending_review,,,,,
Elite Doors,,,,,,,Black hardware finish,Hardware finish option shown for Elite door options,Door hardware finish,,,,,,,,,,,,,,,,,,,,Black,,,,,,"{""source_pages"": ""36""}",,6,,pending_review,,,,,
Elite Doors,,,,,,,Polished Stainless Steel hardware finish,Hardware finish option shown for Elite door options,Door hardware finish,,,,,,,,,,,,,,,,,,,,Polished Stainless Steel,,,,,,"{""source_pages"": ""36""}",,7,,pending_review,,,,,
Elite Doors,,,,,,,Satin Chrome hardware finish,Hardware finish option shown for Elite door options,Door hardware finish,,,,,,,,,,,,,,,,,,,,Satin Chrome,,,,,,"{""source_pages"": ""36""}",,8,,pending_review,,,,,
Elite Doors,,,,,,,Bright Chrome hardware finish,Hardware finish option shown for Elite door options,Door hardware finish,,,,,,,,,,,,,,,,,,,,Bright Chrome,,,,,,"{""source_pages"": ""36""}",,9,,pending_review,,,,,
Elite Doors,,,,,,,Stainless Steel hardware finish,Hardware finish option shown for Elite door options,Door hardware finish,,,,,,,,,,,,,,,,,,,,Stainless Steel,,,,,,"{""source_pages"": ""36""}",,10,,pending_review,,,,,
Elite Doors,,,,,,,White hardware finish,Hardware finish option shown for Elite door options,Door hardware finish,,,,,,,,,,,,,,,,,,,,White,,,,,,"{""source_pages"": ""36""}",,11,,pending_review,,,,,
Pivot Frames,,,,,,,Aluminium bottom seal,A sleek aluminium bottom seal designed with energy efficiency in mind,Seal,,,,,,,,,,,,,,,,,,,,,,,,,,"{""source_pages"": ""37""}",,12,,pending_review,,,,,
Pivot Frames,,,,,,,Factory assembled frame,Fully assembled and packaged ready for your home; premium timber designed to incorporate the pivot operating system; Meranti / Merbau,Frame component,,,,,,,,,,,,,,,,,,,,,,,,,,"{""source_pages"": ""37""}",,13,,pending_review,,,,,
Pivot Frames,,,,,,,Full perimeter seal,Equipped with a full perimeter seal to enhance energy efficiency and reduce noise,Seal,,,,,,,,,,,,,,,,,,,,,,,,,,"{""source_pages"": ""37""}",,14,,pending_review,,,,,
Pivot Frames,,,,,,,Stop bead,Full perimeter seal & stop bead,Frame component,,,,,,,,,,,,,,,,,,,,,,,,,,"{""source_pages"": ""37""}",,15,,pending_review,,,,,
Pivot Frames,,,,,,,Heavy-duty pivot fittings,Features heavy-duty pivot fittings designed to support oversized doors,Hardware,,,,,,,,,,,,,,,,,,,,,,,,,,"{""source_pages"": ""37""}",,16,,pending_review,,,,,
Pivot Frames,,,,,,,Concealed hydraulic self closer,Adjustable closing speed and soft-close functionality; includes a 90° hold-open position,Door closer,,,,,,,,,,,,,,,,,,,,,,,,,,"{""source_pages"": ""37""}",,17,,pending_review,,,,,
Pivot Frames,,,,,,,Glazed sidelite,Optional glazed sidelite/s,Sidelite,,,,,,,,,,,,,,,,,,,,,,,,,,"{""source_pages"": ""37""}",,18,,pending_review,,,,,
Pivot Frames,,,,,,,Hilite,Optional hilite,Hilite,,,,,,,,,,,,,,,,,,,,,,,,,,"{""source_pages"": ""37""}",,19,,pending_review,,,,,
Standard Frames,,,,,,,Anodised aluminium plate,Durable anodised aluminium plate; strong and sleek bottom seal designed with energy efficiency and weather protection in mind,Seal,,,,,,,,,,,,,,,,,,,,,,,,,,"{""source_pages"": ""38""}",,20,,pending_review,,,,,
Standard Frames,,,,,,,Multiblade rubber seal,Provides maximum weather protection,Seal,,,,,,,,,,,,,,,,,,,,,,,,,,"{""source_pages"": ""38""}",,21,,pending_review,,,,,
Standard Frames,,,,,,,Hardwood bottom sill,Crafted from solid hardwood with a slanted design for effective moisture control,Sill,,,,,,,,,,,,,,,,,,,,,,,,,,"{""source_pages"": ""38""}",,22,,pending_review,,,,,
Standard Frames,,,,,,,Factory prepared frame,Fully prepared in factory with hinges fitted; supplied ready for assembly and installation on site,Frame component,,,,,,,,,,,,,,,,,,,,,,,,,,"{""source_pages"": ""38""}",,23,,pending_review,,,,,
Standard Frames,,,,,,,Hinges,Hinges fitted in factory prepared frame,Door hardware,,,,,,,,,,,,,,,,,,,,,,,,,,"{""source_pages"": ""38""}",,24,,pending_review,,,,,
Weatherguard Frames,,,,,,,Self-draining aluminium sill,"Sleek and durable aluminium sill designed to enhance moisture control, improve energy efficiency and reduce noise; tread pattern for slip resistance; available in Anotec Silver or Matt Black",Sill,,,,,,,,,,,,,,,,,,,,,,,,,,"{""source_pages"": ""39""}",,25,,pending_review,,,,,
Weatherguard Frames,,,,,,,Perimeter seals,Full perimeter seal improves energy efficiency and reduces noise,Seal,,,,,,,,,,,,,,,,,,,,,,,,,,"{""source_pages"": ""39""}",,26,,pending_review,,,,,
Weatherguard Frames,,,,,,,Factory prepared frame,Supplied fully factory prepared with fitted hinges and packaged ready for easy installation,Frame component,,,,,,,,,,,,,,,,,,,,,,,,,,"{""source_pages"": ""39""}",,27,,pending_review,,,,,
Weatherguard Frames,,,,,,,Hinges,Fitted hinges in factory prepared frame,Door hardware,,,,,,,,,,,,,,,,,,,,,,,,,,"{""source_pages"": ""39""}",,28,,pending_review,,,,,
Weatherguard Frames,,,,,,,Anotec Silver sill finish,Finish option for self-draining aluminium sill,Sill finish,,,,,,,,,,,,,,,,,,,,Anotec Silver,,,,,,"{""source_pages"": ""39""}",,29,,pending_review,,,,,
Weatherguard Frames,,,,,,,Matt Black sill finish,Finish option for self-draining aluminium sill,Sill finish,,,,,,,,,,,,,,,,,,,,Matt Black,,,,,,"{""source_pages"": ""39""}",,30,,pending_review,,,,,
BAL19 & 29 Doors,,,,,,,Hardwood beading,BAL19 & BAL29 glazing profile shows hardwood beading,Glazing component,,,,,,,,,,,,,,,,,,Hardwood,,,,,,,,"{""source_pages"": ""41""}",,31,,pending_review,,,,,
BAL19 & 29 Doors,,,,,,,6mm Toughened safety glass,6mm Toughened safety glass option shown in glazing profile,Glass,,,,,6,,,,,,,,,,,,,,,,,,,,,"{""source_pages"": ""41""}",,32,,pending_review,,,,,
BAL19 & 29 Doors,,,,,,,Raised Timber Moulding,Standard on external face only for listed designs,Moulding,,,,,,,,,,,,,,,,,,Timber,,,,,,,,"{""source_pages"": ""41""}",,33,,pending_review,,,,,
BAL40 Doors,,,,,,,Hardwood beading,BAL40 glazing profile shows hardwood beading,Glazing component,,,,,,,,,,,,,,,,,,Hardwood,,,,,,,,"{""source_pages"": ""42""}",,34,,pending_review,,,,,
BAL40 Doors,,,,,,,6mm Toughened safety glass,6mm Toughened safety glass option shown in glazing profile,Glass,,,,,6,,,,,,,,,,,,,,,,,,,,,"{""source_pages"": ""42""}",,35,,pending_review,,,,,
BAL40 Doors,,,,,,,Raised Timber Moulding,Standard on external face only for listed designs,Moulding,,,,,,,,,,,,,,,,,,Timber,,,,,,,,"{""source_pages"": ""42""}",,36,,pending_review,,,,,
BAL40 Doors,,,,,,,Double sided fire-resistant hardwood glazing bead,6mm Toughened safety glass and double sided fire-resistant hardwood glazing bead as tested to AS1530.8.1,Glazing component,,,,,,,,,,,,,,,,,,Hardwood,,,,,,,,"{""source_pages"": ""42""}",,37,,pending_review,,,,,
BAL19 & 29 Merbau Weatherguard Frames,,,,,,,Factory assembled frame,Made from premium hardwood for strength and durability; includes factory-fitted hinges for easy installation,Frame component,,,,,,,,,,,,,,,,,,Hardwood,,,,,,,,"{""source_pages"": ""43""}",,38,,pending_review,,,,,
BAL19 & 29 Merbau Weatherguard Frames,,,,,,,Factory-fitted hinges,Included in factory assembled frame,Door hardware,,,,,,,,,,,,,,,,,,,,,,,,,,"{""source_pages"": ""43""}",,39,,pending_review,,,,,
BAL19 & 29 Merbau Weatherguard Frames,,,,,,,Intumescent fire and smoke perimeter seal,BAL19 & BAL29 Weatherguard systems feature a full intumescent fire and smoke perimeter seal,Seal,,,,,,,,,,,,,,,,,,,,,,,,,,"{""source_pages"": ""43""}",,40,,pending_review,,,,,
BAL19 & 29 Merbau Weatherguard Frames,,,,,,,Self-draining aluminium sill,Non-combustible aluminium sill with tread pattern; supplied with protective tape,Sill,,,,,,,,,,,,,,,,,,Aluminium,,,,,,,,"{""source_pages"": ""43""}",,41,,pending_review,,,,,
BAL19 & 29 Merbau Weatherguard Frames,,,,,,,Protective tape,Supplied with self-draining aluminium sill for protection during construction/installation process,Protection,,,,,,,,,,,,,,,,,,,,,,,,,,"{""source_pages"": ""43""}",,42,,pending_review,,,,,
BAL40 Merbau Weatherguard Frame,,,,,,,Factory assembled frame,Made from premium hardwood for strength and durability; includes factory-fitted hinges for easy installation,Frame component,,,,,,,,,,,,,,,,,,Hardwood,,,,,,,,"{""source_pages"": ""44""}",,43,,pending_review,,,,,
BAL40 Merbau Weatherguard Frame,,,,,,,Factory-fitted hinges,Included in factory assembled frame,Door hardware,,,,,,,,,,,,,,,,,,,,,,,,,,"{""source_pages"": ""44""}",,44,,pending_review,,,,,
BAL40 Merbau Weatherguard Frame,,,,,,,Intumescent fire and smoke perimeter seal,BAL40 Weatherguard systems feature a full intumescent fire and smoke perimeter seal,Seal,,,,,,,,,,,,,,,,,,,,,,,,,,"{""source_pages"": ""44""}",,45,,pending_review,,,,,
BAL40 Merbau Weatherguard Frame,,,,,,,Self-draining aluminium sill,Non-combustible aluminium sill with tread pattern; supplied with protective tape,Sill,,,,,,,,,,,,,,,,,,Aluminium,,,,,,,,"{""source_pages"": ""44""}",,46,,pending_review,,,,,
BAL40 Merbau Weatherguard Frame,,,,,,,Protective tape,Supplied with self-draining aluminium sill for protection during construction/installation process,Protection,,,,,,,,,,,,,,,,,,,,,,,,,,"{""source_pages"": ""44""}",,47,,pending_review,,,,,
Frontier Track System,,,,,,,Steel straps,Exposed steel straps deliver an authentic barn door aesthetic,Track hardware,,,,,,,,,,,,,,,,,,,,,,,,,,"{""source_pages"": ""45""}",,48,,pending_review,,,,,
Frontier Track System,,,,,,,Nylon wheels,"High-quality nylon wheels ensure smooth, quiet operation along a flat bar track",Track hardware,,,,,,,,,,,,,,,,,,,,,,,,,,"{""source_pages"": ""45""}",,49,,pending_review,,,,,
